モジュールタイプ,ID,魔法耐性,物理耐性,極・適応力,極・HP凝縮,極・絶境守護,極・HP変動,極・HP吸収,極・ダメージ増強,極・応急処置,極・幸運会心,集中・攻撃速度,集中・会心,集中・幸運,集中・詠唱,マスタリー回復強化,特攻回復強化,筋力強化,知力強化,敏捷強化,特攻ダメージ強化,精鋭打撃
防御,Mod_026,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
防御,Mod_027,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0
防御,Mod_028,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
防御,Mod_029,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
防御,Mod_030,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0
防御,Mod_031,0,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
防御,Mod_032,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0
防御,Mod_033,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0
攻撃,Mod_034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0
攻撃,Mod_035,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0
攻撃,Mod_036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7
攻撃,Mod_037,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0
攻撃,Mod_038,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0
攻撃,Mod_039,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0
攻撃,Mod_040,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,10,0,0,0
攻撃,Mod_041,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3
攻撃,Mod_042,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2
攻撃,Mod_043,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0
攻撃,Mod_044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
攻撃,Mod_045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0
攻撃,Mod_046,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
攻撃,Mod_047,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0
攻撃,Mod_048,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0
攻撃,Mod_049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0
攻撃,Mod_050,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0
攻撃,Mod_051,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8
攻撃,Mod_052,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8
攻撃,Mod_053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4
攻撃,Mod_054,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0
攻撃,Mod_055,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0
攻撃,Mod_056,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0
攻撃,Mod_057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
攻撃,Mod_058,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2
攻撃,Mod_059,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0
攻撃,Mod_060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
攻撃,Mod_061,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0
攻撃,Mod_062,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0
攻撃,Mod_063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0
攻撃,Mod_064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
攻撃,Mod_065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2
攻撃,Mod_066,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0
攻撃,Mod_067,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,3,0
攻撃,Mod_068,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,10,0
攻撃,Mod_069,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,2
支援,Mod_070,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0
支援,Mod_071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0
支援,Mod_072,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0
支援,Mod_073,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0
攻撃,Mod_074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0
攻撃,Mod_075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
攻撃,Mod_076,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0
防御,Mod_077,5,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
攻撃,Mod_078,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,8,0,0
